date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:29:23	67215/67215	---M--	200	added ('OK')	image/png	etag:W/%221068f-17775d2a4b8%22	http://www.getweddie.com/v2/img/template_couple_falling_hearts.png	E:/Kou%20Wedding/Kou-Wedding/www.getweddie.com/v2/img/template_couple_falling_hearts.png	(from http://www.getweddie.com/sample/falling-hearts)
21:29:24	55515/55515	---M--	200	added ('OK')	image/png	etag:W/%22d8db-17775d2a4b8%22	http://www.getweddie.com/v2/img/story_first_meet_icon.png	E:/Kou%20Wedding/Kou-Wedding/www.getweddie.com/v2/img/story_first_meet_icon.png	(from http://www.getweddie.com/sample/falling-hearts)
21:29:26	32061/32061	---M--	200	added ('OK')	image/png	etag:W/%227d3d-17775d2a4b8%22	http://www.getweddie.com/v2/img/gallery_groom_template_fireworks.png	E:/Kou%20Wedding/Kou-Wedding/www.getweddie.com/v2/img/gallery_groom_template_fireworks.png	(from http://www.getweddie.com/sample/falling-hearts)
21:29:28	24434/24434	---M--	200	added ('OK')	image/png	etag:W/%225f72-17775d2a4b8%22	http://www.getweddie.com/v2/img/gallery_bride_groom_template_fireworks.png	E:/Kou%20Wedding/Kou-Wedding/www.getweddie.com/v2/img/gallery_bride_groom_template_fireworks.png	(from http://www.getweddie.com/sample/falling-hearts)
21:29:29	35721/35721	---M--	200	added ('OK')	image/png	etag:W/%228b89-17775d2a4b8%22	http://www.getweddie.com/v2/img/gallery_bride_template_fireworks.png	E:/Kou%20Wedding/Kou-Wedding/www.getweddie.com/v2/img/gallery_bride_template_fireworks.png	(from http://www.getweddie.com/sample/falling-hearts)
21:29:29	74171/74171	---M--	200	added ('OK')	image/png	etag:W/%22121bb-17775d2a4b8%22	http://www.getweddie.com/v2/img/story_pre_wedding.png	E:/Kou%20Wedding/Kou-Wedding/www.getweddie.com/v2/img/story_pre_wedding.png	(from http://www.getweddie.com/sample/falling-hearts)
21:29:29	19231/19231	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-4b1f%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.4/popper.min.js	E:/Kou%20Wedding/Kou-Wedding/cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.4/popper.min.js	(from http://www.getweddie.com/sample/falling-hearts)
21:29:29	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-1538f%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.3.1/jquery.min.js	E:/Kou%20Wedding/Kou-Wedding/cdnjs.cloudflare.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from http://www.getweddie.com/sample/falling-hearts)
21:29:30	51039/51039	---M-Z	200	added ('OK')	application/javascript	etag:%225eb04010-c75f%22	https://cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/4.1.3/js/bootstrap.min.js	E:/Kou%20Wedding/Kou-Wedding/cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/4.1.3/js/bootstrap.min.js	(from http://www.getweddie.com/sample/falling-hearts)
21:29:31	1865/1865	---M--	200	added ('OK')	application/javascript	etag:W/%22749-17775d2a4b8%22	http://www.getweddie.com/v2/js/falling-hearts.js	E:/Kou%20Wedding/Kou-Wedding/www.getweddie.com/v2/js/falling-hearts.js	(from http://www.getweddie.com/sample/falling-hearts)
21:29:32	9520/9520	---M--	200	added ('OK')	application/javascript	etag:W/%222530-17775d2a4b8%22	http://www.getweddie.com/v2/js/simplyCountdown.js	E:/Kou%20Wedding/Kou-Wedding/www.getweddie.com/v2/js/simplyCountdown.js	(from http://www.getweddie.com/sample/falling-hearts)
21:29:32	210115/210115	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03f1f-334c3%22	https://cdnjs.cloudflare.com/ajax/libs/mdbootstrap/4.5.8/js/mdb.min.js	E:/Kou%20Wedding/Kou-Wedding/cdnjs.cloudflare.com/ajax/libs/mdbootstrap/4.5.8/js/mdb.min.js	(from http://www.getweddie.com/sample/falling-hearts)
21:29:32	72/72	---M-Z	200	added ('OK')	image/png	etag:%225eb03f1f-48%22	https://cdnjs.cloudflare.com/ajax/libs/mdbootstrap/4.5.8/img//overlays/01.png	E:/Kou%20Wedding/Kou-Wedding/cdnjs.cloudflare.com/ajax/libs/mdbootstrap/4.5.8/img/overlays/01.png	(from https://cdnjs.cloudflare.com/ajax/libs/mdbootstrap/4.5.8/css/mdb.min.css)
